Datetime,open,high,low,close,returns,log_returns,volatility_20,sma_20,sma_50,price_sma20_ratio,price_sma50_ratio,hour,day_of_week,day_of_month,month,london_session,ny_session,asia_session,target_direction,target_return
2025-11-05 00:00:00+00:00,1.410099983215332,1.4108200073242188,1.4098000526428225,1.4103200435638428,,,,,,,,0,2,5,11,0,0,1,1,0.0005034392950769018
2025-11-05 01:00:00+00:00,1.4103200435638428,1.4119000434875488,1.409999966621399,1.4113199710845947,0.0007090075230193893,0.0007087562959264594,,,,,,1,2,5,11,0,0,1,1,2.838075143096752e-05
2025-11-05 02:00:00+00:00,1.4113199710845947,1.4118000268936155,1.410599946975708,1.4113199710845947,0.0,0.0,,,,,,2,2,5,11,0,0,1,1,0.00011335407268031616
2025-11-05 03:00:00+00:00,1.4113199710845947,1.411509990692139,1.4104000329971311,1.4106999635696411,-0.0004393103815267807,-0.0004394069066031199,,,,,,3,2,5,11,0,0,1,1,0.00036860490143109104
2025-11-05 04:00:00+00:00,1.4110699892044067,1.411329984664917,1.4105000495910645,1.410599946975708,-7.089855852837612e-05,-7.090107194997617e-05,,,,,,4,2,5,11,0,0,1,1,0.00019141432793268187
2025-11-05 05:00:00+00:00,1.4110000133514404,1.411260008811951,1.4103000164031982,1.4110300540924072,0.00030491077049976667,0.0003048642946578665,,,,,,5,2,5,11,0,0,1,0,-0.00026933459991573816
2025-11-05 06:00:00+00:00,1.411020040512085,1.4114999771118164,1.4104000329971311,1.4113600254058838,0.00023385137157050373,0.00023382403260059837,,,,,,6,2,5,11,0,0,1,0,-0.000524353287757795
2025-11-05 07:00:00+00:00,1.4113600254058838,1.4119999408721924,1.410599946975708,1.411479949951172,8.497090971082422e-05,8.496729988756087e-05,,,,,,7,2,5,11,0,0,0,0,-0.0011193923964424313
2025-11-05 19:00:00+00:00,1.411739945411682,1.4119000434875488,1.410599946975708,1.4112199544906616,-0.00018420060484702905,-0.00018421757186203033,,,,,,19,2,5,11,0,1,0,0,-0.0008927899419597374
2025-11-05 20:00:00+00:00,1.411180019378662,1.4112900495529177,1.410099983215332,1.4108699560165403,-0.0002480112848515237,-0.00024804204473620136,,,,,,20,2,5,11,0,1,0,0,-0.0003543655871639517
2025-11-05 21:00:00+00:00,1.4108400344848633,1.4110699892044067,1.409999966621399,1.4106500148773191,-0.00015589044070518643,-0.00015590259288289336,,,,,,21,2,5,11,0,1,0,0,-0.00025521004547290893
2025-11-05 22:00:00+00:00,1.4107199907302856,1.4110000133514404,1.4101999998092651,1.4106199741363523,-2.129567266861976e-05,-2.129589942467625e-05,,,,,,22,2,5,11,0,0,1,0,-0.00017011548415968303
2025-11-05 23:00:00+00:00,1.4105299711227417,1.410899996757507,1.4097000360488892,1.4098999500274658,-0.0005104309609165192,-0.0005105612751456151,,,,,,23,2,5,11,0,0,1,1,0.0002695504848273522
2025-11-06 00:00:00+00:00,1.4101999998092651,1.4107400178909302,1.409600019454956,1.4099600315093994,4.2614003874730244e-05,4.2613095923861316e-05,,,,,,0,3,6,11,0,0,1,1,0.00019150120201882892
2025-11-06 01:00:00+00:00,1.4099600315093994,1.4108200073242188,1.409600019454956,1.4103699922561646,0.00029076054469867607,0.0002907182820435093,,,,,,1,3,6,11,0,0,1,0,-7.099966942702984e-06
2025-11-06 02:00:00+00:00,1.4103699922561646,1.4104199409484863,1.409600019454956,1.410290002822876,-5.671521212713415e-05,-5.671682049559039e-05,,,,,,2,3,6,11,0,0,1,0,-0.00034741094319101773
2025-11-06 03:00:00+00:00,1.410290002822876,1.4105000495910645,1.4097000360488892,1.4103800058364868,6.381879856665051e-05,6.381676223376236e-05,,,,,,3,3,6,11,0,0,1,0,-0.0007940918551702092
2025-11-06 04:00:00+00:00,1.4103599786758425,1.4105000495910645,1.409600019454956,1.4102799892425537,-7.091464252129143e-05,-7.091715708343361e-05,,,,,,4,3,6,11,0,0,1,0,-0.0002906945783052173
2025-11-06 05:00:00+00:00,1.4102599620819092,1.4105099439620972,1.4097000360488892,1.410230040550232,-3.541757147718094e-05,-3.541819869417532e-05,,,,,,5,3,6,11,0,0,1,0,-0.0003191075605500915
2025-11-06 06:00:00+00:00,1.410230040550232,1.4105000495910645,1.409500002861023,1.4103599786758425,9.213966649013194e-05,9.213542189179007e-05,,1.410662990808487,,0.9997851987791423,,6,3,6,11,0,0,1,0,-0.0005246405679609767
2025-11-06 07:00:00+00:00,1.4103200435638428,1.4103599786758425,1.4092999696731567,1.4098000526428225,-0.00039700930364294784,-0.0003970881327011408,0.00028054866313570096,1.410636991262436,,0.9994066945466499,,7,3,6,11,0,0,0,0,-0.00012768195524215376
2025-11-06 08:00:00+00:00,1.4100799560546875,1.4104499816894531,1.408900022506714,1.4092600345611572,-0.0003830458657261282,-0.00038311924653316125,0.00023396057048443,1.410533994436264,,0.9990968244082512,,8,3,6,11,1,0,0,1,0.0003405592920835421
2025-11-06 09:00:00+00:00,1.4092899560928345,1.409980058670044,1.4086999893188477,1.4098700284957886,0.00043284696909839937,0.00043275331787252883,0.00025966933424535337,1.4104614973068237,,0.9995806558263629,,9,3,6,11,1,0,0,1,0.0008511144179002006
2025-11-06 10:00:00+00:00,1.4098700284957886,1.4100199937820437,1.4091999530792236,1.4097800254821775,-6.383780901209057e-05,-6.383984673174313e-05,0.00024318976709969056,1.4104155004024506,,0.9995494413383207,,10,3,6,11,1,0,0,1,0.0010426944082628786
2025-11-06 11:00:00+00:00,1.4097700119018557,1.4100099802017212,1.409000039100647,1.4096200466156006,-0.00011347789278137732,-0.00011348433188458756,0.00024372841183544926,1.4103665053844452,,0.9994707341914355,,11,3,6,11,1,0,0,1,0.001120869362988719
2025-11-06 12:00:00+00:00,1.4096499681472778,1.4100199937820437,1.4088000059127808,1.4096200466156006,0.0,0.0,0.0002305476937284292,1.4102960050106048,,0.99952069750421,,12,3,6,11,1,0,0,1,0.0012626905431405433
2025-11-06 13:00:00+00:00,1.4096200466156006,1.4098199605941772,1.4085999727249146,1.409739971160889,8.507579441441315e-05,8.507217567425887e-05,0.0002231919101437151,1.410215002298355,,0.9996631498482913,,13,3,6,11,1,1,0,1,0.0008938117782912869
2025-11-06 18:00:00+00:00,1.4116899967193604,1.4124599695205688,1.4104000329971311,1.4110699892044067,0.000943449196820767,0.0009430044283495981,0.0003154155430374543,1.410194504261017,,1.0006208256667748,,18,3,6,11,0,1,0,1,0.0003827011316210882
2025-11-06 19:00:00+00:00,1.4110699892044067,1.4114999771118164,1.4101999998092651,1.4112499952316284,0.00012756704387362205,0.00012755890789019561,0.00031428984670463147,1.4101960062980652,,1.0007474059838888,,19,3,6,11,0,1,0,1,0.00013464631226645096
2025-11-06 21:00:00+00:00,1.4116699695587158,1.411929965019226,1.410899996757507,1.4112000465393066,-3.5393227628355284e-05,-3.5393853983415455e-05,0.0003089709824956745,1.4102125108242034,,1.0007002743966058,,21,3,6,11,0,1,0,1,7.078896070655816e-05
2025-11-06 22:00:00+00:00,1.4113500118255615,1.4120700359344482,1.4105000495910645,1.4113999605178833,0.00014166239511315126,0.00014165236194359402,0.00030763702682198813,1.4102500081062317,,1.0008154245027772,,22,3,6,11,0,0,1,0,-0.00012044243421749368
2025-11-06 23:00:00+00:00,1.4113600254058838,1.4117000102996826,1.4106999635696411,1.4110000133514404,-0.0002833691211782119,-0.0002834092777939063,0.0003152721014525465,1.4102690100669861,,1.0005183431524314,,23,3,6,11,0,0,1,0,-9.217387219662143e-05
2025-11-07 07:00:00+00:00,1.4119499921798706,1.4120500087738037,1.4110000133514404,1.4116100072860718,0.000432313202593404,0.00043221978216445583,0.0003030404231039884,1.4103545129299164,,1.000890197708906,,7,4,7,11,0,0,0,0,-0.000318795606244926
2025-11-07 08:00:00+00:00,1.4116100072860718,1.4119399785995483,1.410899996757507,1.4114400148391724,-0.00012042451245175556,-0.00012043176406554239,0.0003057311187921029,1.410428512096405,,1.0007171598802012,,8,4,7,11,1,0,0,0,-0.003783356054302911
2025-11-07 09:00:00+00:00,1.4114700555801392,1.4119700193405151,1.4110000133514404,1.4112999439239502,-9.923972237535494e-05,-9.924464696241597e-05,0.00030215011601278727,1.4104750096797942,,1.0005848627153935,,9,4,7,11,1,0,0,0,-0.0028909077424971175
