,open,high,low,close,volume,returns,log_returns,volatility_20,hour,day_of_week,day_of_month,month,week_of_year,london_session,ny_session,asia_session,target,target_return
2025-11-05 00:00:00+00:00,153.54400634765625,153.7469940185547,153.2259979248047,153.23500061035156,0.0,,,,0,2,5,11,45,0,0,1,1,0.0018402954908527391
2025-11-05 01:00:00+00:00,153.54400634765625,153.7469940185547,153.2259979248047,153.23500061035156,0.0,0.0,0.0,,1,2,5,11,45,0,0,1,1,0.002780010254511689
2025-11-05 02:00:00+00:00,153.15699768066406,153.322998046875,153.06100463867188,153.31100463867188,0.0,0.000495996528323106,0.0004958735627037184,,2,2,5,11,45,0,0,1,1,0.0015849887383687644
2025-11-05 03:00:00+00:00,153.31100463867188,153.5659942626953,153.2949981689453,153.50599670410156,0.0,0.0012718725957685528,0.001271064450984177,,3,2,5,11,45,0,0,1,0,-9.115155023742272e-05
2025-11-05 04:00:00+00:00,153.50599670410156,153.5279998779297,153.38400268554688,153.4810028076172,0.0,-0.0001628203263782657,-0.00016283358304659625,,4,2,5,11,45,0,0,1,1,0.0013160967540886137
2025-11-05 05:00:00+00:00,153.47799682617188,153.56500244140625,153.40199279785156,153.51699829101562,0.0,0.00023452728832862313,0.00023449979110328685,,5,2,5,11,45,0,0,1,1,0.000710076345134425
2025-11-05 06:00:00+00:00,153.51499938964844,153.74000549316406,153.44700622558594,153.66099548339844,0.0,0.0009379885874907234,0.0009375489510900647,,6,2,5,11,45,0,0,1,0,-0.0003318660853813826
2025-11-05 07:00:00+00:00,153.66200256347656,153.69000244140625,153.4429931640625,153.5540008544922,0.0,-0.0006963031091244964,-0.0006965456407245912,,7,2,5,11,45,0,0,0,1,0.0009833737689817212
2025-11-05 08:00:00+00:00,153.5590057373047,153.66400146484375,153.41200256347656,153.49200439453125,0.0,-0.0004037436967838648,-0.0004038252232148047,,8,2,5,11,45,1,0,0,1,0.0031532165612313534
2025-11-05 09:00:00+00:00,153.49200439453125,153.70700073242188,153.48199462890625,153.68299865722656,0.0,0.0012443271129900513,0.0012435535796271862,,9,2,5,11,45,1,0,0,1,0.0016462847787712676
2025-11-05 10:00:00+00:00,153.6840057373047,153.8419952392578,153.61399841308594,153.62600708007812,0.0,-0.0003708385289614702,-0.00037090730657286905,,10,2,5,11,45,1,0,0,1,0.004387251771299061
2025-11-05 11:00:00+00:00,153.6199951171875,153.70799255371094,153.57000732421875,153.61000061035156,0.0,-0.00010419114595761059,-0.00010419657423211393,,11,2,5,11,45,1,0,0,1,0.0032875781577106356
2025-11-05 12:00:00+00:00,153.61000061035156,153.74899291992188,153.5590057373047,153.7050018310547,0.0,0.0006184572640168806,0.00061826609813773,,12,2,5,11,45,1,0,0,1,0.002387719268463595
2025-11-05 13:00:00+00:00,153.7050018310547,153.99099731445312,153.68499755859375,153.9759979248047,0.0,0.0017630922255078563,0.0017615398028517344,,13,2,5,11,45,1,1,0,1,0.0009676967657523683
